OUT = 52.000000 	 PREOUT = 50.000000 	 ERROR = 0.503912 	 TACHO = 0.000000 	 SOURCE = 0.503912 
OUT = 54.000000 	 PREOUT = 52.000000 	 ERROR = 0.503912 	 TACHO = 0.000000 	 SOURCE = 0.503912 
OUT = 56.000000 	 PREOUT = 54.000000 	 ERROR = 0.503912 	 TACHO = 0.000000 	 SOURCE = 0.503912 
OUT = 58.000000 	 PREOUT = 56.000000 	 ERROR = 0.503912 	 TACHO = 0.000000 	 SOURCE = 0.503912 
OUT = 64.000000 	 PREOUT = 62.000000 	 ERROR = 0.503912 	 TACHO = 0.000000 	 SOURCE = 0.503912 
OUT = 66.000000 	 PREOUT = 64.000000 	 ERROR = 0.503912 	 TACHO = 0.000000 	 SOURCE = 0.503912 
OUT = 68.000000 	 PREOUT = 66.000000 	 ERROR = 0.201565 	 TACHO = 0.302347 	 SOURCE = 0.503912 
OUT = 66.000000 	 PREOUT = 68.000000 	 ERROR = 0.078386 	 TACHO = 0.436724 	 SOURCE = 0.515110 
OUT = 64.000000 	 PREOUT = 66.000000 	 ERROR = -0.089584 	 TACHO = 0.593496 	 SOURCE = 0.503912 
OUT = 62.000000 	 PREOUT = 64.000000 	 ERROR = -0.134377 	 TACHO = 0.638289 	 SOURCE = 0.503912 
OUT = 60.000000 	 PREOUT = 62.000000 	 ERROR = -0.145575 	 TACHO = 0.649487 	 SOURCE = 0.503912 
OUT = 58.000000 	 PREOUT = 60.000000 	 ERROR = -0.123179 	 TACHO = 0.627091 	 SOURCE = 0.503912 
OUT = 54.000000 	 PREOUT = 56.000000 	 ERROR = -0.089584 	 TACHO = 0.593496 	 SOURCE = 0.503912 
OUT = 52.000000 	 PREOUT = 54.000000 	 ERROR = -0.055990 	 TACHO = 0.559902 	 SOURCE = 0.503912 
OUT = 50.000000 	 PREOUT = 52.000000 	 ERROR = -0.044792 	 TACHO = 0.548704 	 SOURCE = 0.503912 
OUT = 48.000000 	 PREOUT = 50.000000 	 ERROR = -0.022396 	 TACHO = 0.526308 	 SOURCE = 0.503912 
OUT = 44.000000 	 PREOUT = 46.000000 	 ERROR = 0.011198 	 TACHO = 0.492714 	 SOURCE = 0.503912 
OUT = 42.000000 	 PREOUT = 44.000000 	 ERROR = 0.033594 	 TACHO = 0.470318 	 SOURCE = 0.503912 
OUT = 40.000000 	 PREOUT = 42.000000 	 ERROR = 0.055990 	 TACHO = 0.447922 	 SOURCE = 0.503912 
OUT = 38.000000 	 PREOUT = 40.000000 	 ERROR = 0.067188 	 TACHO = 0.436724 	 SOURCE = 0.503912 
OUT = 36.000000 	 PREOUT = 38.000000 	 ERROR = 0.089584 	 TACHO = 0.414328 	 SOURCE = 0.503912 
OUT = 34.000000 	 PREOUT = 36.000000 	 ERROR = 0.111980 	 TACHO = 0.391932 	 SOURCE = 0.503912 
OUT = 32.000000 	 PREOUT = 34.000000 	 ERROR = 0.123179 	 TACHO = 0.380734 	 SOURCE = 0.503912 
OUT = 34.000000 	 PREOUT = 32.000000 	 ERROR = 0.145575 	 TACHO = 0.358338 	 SOURCE = 0.503912 
OUT = 36.000000 	 PREOUT = 34.000000 	 ERROR = 0.167971 	 TACHO = 0.335941 	 SOURCE = 0.503912 
OUT = 40.000000 	 PREOUT = 38.000000 	 ERROR = 0.190367 	 TACHO = 0.313545 	 SOURCE = 0.503912 
OUT = 42.000000 	 PREOUT = 40.000000 	 ERROR = 0.179169 	 TACHO = 0.335941 	 SOURCE = 0.515110 
OUT = 44.000000 	 PREOUT = 42.000000 	 ERROR = 0.134377 	 TACHO = 0.369536 	 SOURCE = 0.503912 
OUT = 42.000000 	 PREOUT = 44.000000 	 ERROR = 0.123179 	 TACHO = 0.380734 	 SOURCE = 0.503912 
OUT = 40.000000 	 PREOUT = 42.000000 	 ERROR = 0.078386 	 TACHO = 0.425526 	 SOURCE = 0.503912 
OUT = 38.000000 	 PREOUT = 40.000000 	 ERROR = 0.078386 	 TACHO = 0.425526 	 SOURCE = 0.503912 
OUT = 40.000000 	 PREOUT = 38.000000 	 ERROR = 0.100782 	 TACHO = 0.403130 	 SOURCE = 0.503912 
OUT = 42.000000 	 PREOUT = 40.000000 	 ERROR = 0.134377 	 TACHO = 0.380734 	 SOURCE = 0.515110 
OUT = 44.000000 	 PREOUT = 42.000000 	 ERROR = 0.145575 	 TACHO = 0.369536 	 SOURCE = 0.515110 
OUT = 48.000000 	 PREOUT = 46.000000 	 ERROR = 0.111980 	 TACHO = 0.403130 	 SOURCE = 0.515110 
OUT = 46.000000 	 PREOUT = 48.000000 	 ERROR = 0.067188 	 TACHO = 0.436724 	 SOURCE = 0.503912 
OUT = 44.000000 	 PREOUT = 46.000000 	 ERROR = 0.044792 	 TACHO = 0.459120 	 SOURCE = 0.503912 
OUT = 42.000000 	 PREOUT = 44.000000 	 ERROR = 0.055990 	 TACHO = 0.459120 	 SOURCE = 0.515110 
OUT = 44.000000 	 PREOUT = 42.000000 	 ERROR = 0.067188 	 TACHO = 0.459120 	 SOURCE = 0.526308 
OUT = 46.000000 	 PREOUT = 44.000000 	 ERROR = 0.078386 	 TACHO = 0.425526 	 SOURCE = 0.503912 
OUT = 48.000000 	 PREOUT = 46.000000 	 ERROR = 0.089584 	 TACHO = 0.414328 	 SOURCE = 0.503912 
OUT = 46.000000 	 PREOUT = 48.000000 	 ERROR = 0.078386 	 TACHO = 0.436724 	 SOURCE = 0.515110 
OUT = 44.000000 	 PREOUT = 46.000000 	 ERROR = 0.067188 	 TACHO = 0.447922 	 SOURCE = 0.515110 
OUT = 44.000000 	 PREOUT = 42.000000 	 ERROR = 0.078386 	 TACHO = 0.436724 	 SOURCE = 0.515110 
OUT = 46.000000 	 PREOUT = 44.000000 	 ERROR = 0.078386 	 TACHO = 0.425526 	 SOURCE = 0.503912 
OUT = 48.000000 	 PREOUT = 46.000000 	 ERROR = 0.089584 	 TACHO = 0.414328 	 SOURCE = 0.503912 
OUT = 50.000000 	 PREOUT = 48.000000 	 ERROR = 0.089584 	 TACHO = 0.436724 	 SOURCE = 0.526308 
OUT = 54.000000 	 PREOUT = 52.000000 	 ERROR = 0.257555 	 TACHO = 0.470318 	 SOURCE = 0.727873 
OUT = 56.000000 	 PREOUT = 54.000000 	 ERROR = 0.257555 	 TACHO = 0.503912 	 SOURCE = 0.761467 
OUT = 54.000000 	 PREOUT = 56.000000 	 ERROR = -0.515110 	 TACHO = 0.515110 	 SOURCE = 0.000000 
OUT = 56.000000 	 PREOUT = 54.000000 	 ERROR = 0.268753 	 TACHO = 0.548704 	 SOURCE = 0.817457 
OUT = 60.000000 	 PREOUT = 58.000000 	 ERROR = 0.279951 	 TACHO = 0.548704 	 SOURCE = 0.828655 
OUT = 62.000000 	 PREOUT = 60.000000 	 ERROR = 0.302347 	 TACHO = 0.548704 	 SOURCE = 0.851052 
OUT = 64.000000 	 PREOUT = 62.000000 	 ERROR = 0.279951 	 TACHO = 0.582298 	 SOURCE = 0.862250 
OUT = 66.000000 	 PREOUT = 64.000000 	 ERROR = 0.279951 	 TACHO = 0.604695 	 SOURCE = 0.884646 
OUT = 70.000000 	 PREOUT = 68.000000 	 ERROR = 0.313545 	 TACHO = 0.638289 	 SOURCE = 0.951834 
OUT = 72.000000 	 PREOUT = 70.000000 	 ERROR = 0.492714 	 TACHO = 0.660685 	 SOURCE = 1.153399 
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.470318 	 TACHO = 0.683081 	 SOURCE = 1.153399 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.425526 	 TACHO = 0.716675 	 SOURCE = 1.142201 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.414328 	 TACHO = 0.727873 	 SOURCE = 1.142201 
OUT = 80.000000 	 PREOUT = 78.000000 	 ERROR = 0.291149 	 TACHO = 0.739071 	 SOURCE = 1.030220 
OUT = 82.000000 	 PREOUT = 80.000000 	 ERROR = 0.268753 	 TACHO = 0.772665 	 SOURCE = 1.041418 
OUT = 84.000000 	 PREOUT = 82.000000 	 ERROR = 0.257555 	 TACHO = 0.795061 	 SOURCE = 1.052616 
OUT = 86.000000 	 PREOUT = 84.000000 	 ERROR = 0.358337 	 TACHO = 0.806259 	 SOURCE = 1.164597 
OUT = 90.000000 	 PREOUT = 88.000000 	 ERROR = 0.313545 	 TACHO = 0.851052 	 SOURCE = 1.164597 
OUT = 92.000000 	 PREOUT = 90.000000 	 ERROR = 0.302347 	 TACHO = 0.873448 	 SOURCE = 1.175795 
