//RUN 1
OUT = 52.000000 	 PREOUT = 50.000000 	 ERROR = 0.783863 	 TACHO = 0.000000 	 SOURCE = 0.783863 
OUT = 54.000000 	 PREOUT = 52.000000 	 ERROR = 0.806259 	 TACHO = 0.000000 	 SOURCE = 0.806259 
OUT = 56.000000 	 PREOUT = 54.000000 	 ERROR = 0.783863 	 TACHO = 0.000000 	 SOURCE = 0.783863 
OUT = 58.000000 	 PREOUT = 56.000000 	 ERROR = 0.783863 	 TACHO = 0.000000 	 SOURCE = 0.783863 
OUT = 60.000000 	 PREOUT = 58.000000 	 ERROR = 0.783863 	 TACHO = 0.000000 	 SOURCE = 0.783863 
OUT = 52.000000 	 PREOUT = 50.000000 	 ERROR = 0.783863 	 TACHO = 0.000000 	 SOURCE = 0.783863 
OUT = 54.000000 	 PREOUT = 52.000000 	 ERROR = 0.806259 	 TACHO = 0.000000 	 SOURCE = 0.806259 
OUT = 56.000000 	 PREOUT = 54.000000 	 ERROR = 0.783863 	 TACHO = 0.000000 	 SOURCE = 0.783863 
OUT = 58.000000 	 PREOUT = 56.000000 	 ERROR = 0.783863 	 TACHO = 0.000000 	 SOURCE = 0.783863 
OUT = 60.000000 	 PREOUT = 58.000000 	 ERROR = 0.783863 	 TACHO = 0.000000 	 SOURCE = 0.783863 
OUT = 64.000000 	 PREOUT = 62.000000 	 ERROR = 0.783863 	 TACHO = 0.000000 	 SOURCE = 0.783863 
OUT = 66.000000 	 PREOUT = 64.000000 	 ERROR = 0.795061 	 TACHO = 0.000000 	 SOURCE = 0.795061 
OUT = 68.000000 	 PREOUT = 66.000000 	 ERROR = 0.593496 	 TACHO = 0.190367 	 SOURCE = 0.783863 
OUT = 70.000000 	 PREOUT = 68.000000 	 ERROR = 0.414328 	 TACHO = 0.369536 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.156773 	 TACHO = 0.627091 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.123179 	 TACHO = 0.660685 	 SOURCE = 0.783863 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.078386 	 TACHO = 0.705477 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 78.000000 	 ERROR = 0.033594 	 TACHO = 0.750269 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = -0.011198 	 TACHO = 0.795061 	 SOURCE = 0.783863 
OUT = 72.000000 	 PREOUT = 74.000000 	 ERROR = 0.000000 	 TACHO = 0.783863 	 SOURCE = 0.783863 
OUT = 70.000000 	 PREOUT = 72.000000 	 ERROR = 0.011198 	 TACHO = 0.772665 	 SOURCE = 0.783863 
OUT = 72.000000 	 PREOUT = 70.000000 	 ERROR = 0.033594 	 TACHO = 0.750269 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.044792 	 TACHO = 0.739071 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.055990 	 TACHO = 0.727873 	 SOURCE = 0.783863 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.033594 	 TACHO = 0.750269 	 SOURCE = 0.783863 
OUT = 76.000000 	 PREOUT = 78.000000 	 ERROR = 0.022396 	 TACHO = 0.761467 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 76.000000 	 ERROR = -0.436724 	 TACHO = 0.783863 	 SOURCE = 0.347139 
OUT = 72.000000 	 PREOUT = 74.000000 	 ERROR = -0.750269 	 TACHO = 0.783863 	 SOURCE = 0.033594 
OUT = 68.000000 	 PREOUT = 70.000000 	 ERROR = -0.750269 	 TACHO = 0.750269 	 SOURCE = 0.000000 
OUT = 66.000000 	 PREOUT = 68.000000 	 ERROR = -0.335941 	 TACHO = 0.727873 	 SOURCE = 0.391932 
OUT = 64.000000 	 PREOUT = 66.000000 	 ERROR = -0.638289 	 TACHO = 0.705477 	 SOURCE = 0.067188 
OUT = 62.000000 	 PREOUT = 64.000000 	 ERROR = -0.503912 	 TACHO = 0.683081 	 SOURCE = 0.179169 
OUT = 58.000000 	 PREOUT = 60.000000 	 ERROR = -0.403130 	 TACHO = 0.649487 	 SOURCE = 0.246357 
OUT = 56.000000 	 PREOUT = 58.000000 	 ERROR = -0.526308 	 TACHO = 0.627091 	 SOURCE = 0.100782 
OUT = 54.000000 	 PREOUT = 56.000000 	 ERROR = -0.447922 	 TACHO = 0.604695 	 SOURCE = 0.156773 
OUT = 52.000000 	 PREOUT = 54.000000 	 ERROR = 0.190367 	 TACHO = 0.593496 	 SOURCE = 0.783863 
OUT = 54.000000 	 PREOUT = 52.000000 	 ERROR = 0.223961 	 TACHO = 0.559902 	 SOURCE = 0.783863 
OUT = 56.000000 	 PREOUT = 54.000000 	 ERROR = 0.246357 	 TACHO = 0.537506 	 SOURCE = 0.783863 
OUT = 58.000000 	 PREOUT = 56.000000 	 ERROR = 0.246357 	 TACHO = 0.537506 	 SOURCE = 0.783863 
OUT = 60.000000 	 PREOUT = 58.000000 	 ERROR = 0.223961 	 TACHO = 0.559902 	 SOURCE = 0.783863 
OUT = 62.000000 	 PREOUT = 60.000000 	 ERROR = 0.223961 	 TACHO = 0.571100 	 SOURCE = 0.795061 
OUT = 64.000000 	 PREOUT = 62.000000 	 ERROR = 0.190367 	 TACHO = 0.593496 	 SOURCE = 0.783863 
OUT = 62.000000 	 PREOUT = 64.000000 	 ERROR = 0.179169 	 TACHO = 0.604695 	 SOURCE = 0.783863 
OUT = 60.000000 	 PREOUT = 62.000000 	 ERROR = 0.145575 	 TACHO = 0.638289 	 SOURCE = 0.783863 
OUT = 62.000000 	 PREOUT = 60.000000 	 ERROR = 0.145575 	 TACHO = 0.638289 	 SOURCE = 0.783863 
OUT = 64.000000 	 PREOUT = 62.000000 	 ERROR = 0.156773 	 TACHO = 0.627091 	 SOURCE = 0.783863 
OUT = 64.000000 	 PREOUT = 66.000000 	 ERROR = 0.134377 	 TACHO = 0.649487 	 SOURCE = 0.783863 
OUT = 62.000000 	 PREOUT = 64.000000 	 ERROR = 0.123179 	 TACHO = 0.660685 	 SOURCE = 0.783863 
OUT = 64.000000 	 PREOUT = 62.000000 	 ERROR = 0.123179 	 TACHO = 0.660685 	 SOURCE = 0.783863 
OUT = 66.000000 	 PREOUT = 64.000000 	 ERROR = 0.134377 	 TACHO = 0.649487 	 SOURCE = 0.783863 
OUT = 66.000000 	 PREOUT = 68.000000 	 ERROR = 0.111980 	 TACHO = 0.671883 	 SOURCE = 0.783863 
OUT = 64.000000 	 PREOUT = 66.000000 	 ERROR = 0.100782 	 TACHO = 0.683081 	 SOURCE = 0.783863 
OUT = 66.000000 	 PREOUT = 64.000000 	 ERROR = 0.100782 	 TACHO = 0.683081 	 SOURCE = 0.783863 
OUT = 68.000000 	 PREOUT = 66.000000 	 ERROR = 0.111980 	 TACHO = 0.671883 	 SOURCE = 0.783863 
OUT = 70.000000 	 PREOUT = 68.000000 	 ERROR = 0.123179 	 TACHO = 0.660685 	 SOURCE = 0.783863 
OUT = 68.000000 	 PREOUT = 70.000000 	 ERROR = 0.089584 	 TACHO = 0.683081 	 SOURCE = 0.772665 
OUT = 66.000000 	 PREOUT = 68.000000 	 ERROR = 0.078386 	 TACHO = 0.705477 	 SOURCE = 0.783863 
OUT = 68.000000 	 PREOUT = 66.000000 	 ERROR = 0.089584 	 TACHO = 0.694279 	 SOURCE = 0.783863 
OUT = 70.000000 	 PREOUT = 68.000000 	 ERROR = 0.783863 	 TACHO = 0.000000 	 SOURCE = 0.783863 
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.078386 	 TACHO = 0.705477 	 SOURCE = 0.783863 
OUT = 72.000000 	 PREOUT = 74.000000 	 ERROR = 0.055990 	 TACHO = 0.727873 	 SOURCE = 0.783863 
OUT = 70.000000 	 PREOUT = 72.000000 	 ERROR = 0.044792 	 TACHO = 0.739071 	 SOURCE = 0.783863 
OUT = 68.000000 	 PREOUT = 70.000000 	 ERROR = 0.033594 	 TACHO = 0.750269 	 SOURCE = 0.783863 
OUT = 70.000000 	 PREOUT = 68.000000 	 ERROR = 0.055990 	 TACHO = 0.727873 	 SOURCE = 0.783863 
OUT = 72.000000 	 PREOUT = 70.000000 	 ERROR = 0.078386 	 TACHO = 0.705477 	 SOURCE = 0.783863 
