ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2017-03-10 13:40:05 400m





Relative time;HS4D-5(24422).Ch4;HS4D-5(24422).Ch3;HS4D-5(24422).Ch1;HS4D-5(24422).Ch2
s;V;V;V;V
1.25;-0.11860941;1.3850868;394.98747;394.01198
1.25005;-0.024539877;1.4504597;395.78947;394.41118
1.2501;-0.024539877;1.4504597;395.78947;394.81038
1.25015;-0.21676892;1.3074566;395.38847;394.81038
1.2502;0.024539877;1.4790603;395.38847;394.41118
1.25025;-0.12269939;1.3850868;394.58647;394.01198
1.2503;-0.061349693;1.4300306;394.18546;393.21357
1.25035;0.012269939;1.4872319;393.38346;392.41517
1.2504;-0.061349693;1.4341164;392.18045;391.61677
1.25045;0.036809816;1.4994893;391.77945;390.81836
1.2505;-0.020449898;1.4627171;390.57644;389.62076
1.25055;-0.0081799591;1.4749745;389.77444;388.82236
1.2506;0.024539877;1.5117467;387.36842;386.82635
1.25065;-0.049079755;1.4545455;385.36341;385.22954
1.2507;0.08997955;1.5403473;384.96241;384.03194
1.25075;0.040899796;1.4954035;382.55639;381.63673
1.2508;-0.069529652;1.4136874;380.95238;379.64072
1.25085;0.012269939;1.4872319;378.14536;377.24551
1.2509;-0.012269939;1.4668029;374.53634;374.0519
1.25095;0.13496933;1.5648621;372.93233;371.65669
1.251;0.061349693;1.5158325;369.72431;369.26148
1.25105;-0.053169734;1.442288;366.91729;367.26547
1.2511;-0.13496933;1.3646578;364.91228;364.47106
1.25115;-0.11451943;1.381001;362.10526;361.67665
1.2512;0.044989775;1.4954035;359.69925;358.88224
1.25125;-0.040899796;1.442288;356.89223;355.28942
1.2513;-0.049079755;1.4382022;354.48622;353.29341
1.25135;-0.10224949;1.3973442;351.2782;350.499
1.2514;-0.040899796;1.4300306;348.47118;346.90619
1.25145;0.024539877;1.4708887;345.26316;344.91018
1.2515;-0.11860941;1.381001;342.45614;341.31737
1.25155;-0.065439673;1.4177732;338.84712;337.72455
1.2516;-0.22903885;1.2911134;336.4411;335.32934
1.25165;-0.19222904;1.3278856;334.03509;332.53493
1.2517;0.073619632;1.5035751;330.82707;329.34132
1.25175;-0.13087935;1.3646578;327.61905;326.94611
1.2518;-0.11451943;1.381001;324.81203;323.7525
1.25185;-0.12678937;1.3769152;323.20802;322.55489
1.2519;-0.17177914;1.3564862;322.80702;322.55489
1.25195;0.21676892;1.6261491;324.01003;322.55489
1.252;0.032719836;1.5321757;323.20802;321.75649
1.25205;0.10633947;1.5689479;323.20802;322.15569
1.2521;0.065439673;1.5566905;323.20802;322.55489
1.25215;0.48670757;1.9775281;341.65414;340.91816
1.2522;0.50715746;1.9325843;346.86717;344.91018
1.25225;0.27402863;1.7650664;349.67419;348.10379
1.2523;0.29447853;1.773238;353.28321;352.09581
1.25235;0.21676892;1.7201226;356.89223;355.28942
1.2524;0.18813906;1.6996936;359.29825;358.88224
1.25245;0.3190184;1.7773238;364.11028;362.47505
1.2525;0.22494888;1.7242084;366.51629;365.66866
1.25255;0.25766871;1.7487232;370.12531;369.66068
1.2526;0.27811861;1.7650664;374.53634;372.85429
1.25265;0.32310838;1.7977528;376.54135;376.44711
1.2527;0.42944785;1.875383;380.15038;379.64072
1.25275;0.27811861;1.7609806;383.3584;381.63673
1.2528;0.3190184;1.793667;385.76441;384.83034
1.25285;0.26993865;1.752809;387.76942;387.22555
1.2529;0.28629857;1.7568948;390.57644;389.62076
1.25295;0.42944785;1.8467824;392.98246;391.61677
1.253;0.27402863;1.7487232;394.58647;392.81437
1.25305;0.38854806;1.8263534;396.19048;395.20958
1.2531;0.31492843;1.7650664;397.39348;396.80639
1.25315;0.2208589;1.6956078;398.19549;397.60479
1.2532;0.33537832;1.773238;398.99749;398.40319
1.25325;0.2208589;1.6833504;399.7995;399.2016
1.2533;0.19222904;1.6670072;400.2005;399.6008
1.25335;0.29038855;1.7446374;400.6015;399.6008
1.2534;0.20449898;1.671093;400.6015;399.2016
1.25345;0.38445808;1.7977528;400.2005;399.6008
1.2535;0.25357873;1.7037794;400.2005;399.2016
1.25355;0.18404908;1.6506639;398.99749;398.00399
1.2536;0.22494888;1.6792646;398.59649;397.60479
1.25365;0.19631902;1.6506639;397.79449;397.20559
1.2537;0.31083845;1.7160368;396.59148;396.00798
1.25375;0.2208589;1.6588355;396.19048;395.20958
1.2538;0.18404908;1.6220633;394.58647;393.61277
1.25385;0.25766871;1.6833504;392.98246;392.01597
1.2539;0.14723926;1.6016343;391.37845;390.41916
1.25395;0.30265849;1.691522;388.57143;388.82236
1.254;0.15132924;1.5852911;387.76942;386.82635
1.25405;0.11042945;1.5526047;385.36341;384.43114
1.2541;0.1799591;1.6098059;382.95739;382.83433
1.25415;0.14723926;1.5852911;381.35338;380.03992
1.2542;0.48261759;1.8100102;377.74436;376.44711
1.25425;0.24948875;1.6547497;374.53634;373.65269
1.2543;0.21676892;1.6343207;371.72932;370.85828
1.25435;0.27811861;1.6833504;368.92231;368.46307
1.2544;0.20449898;1.6220633;367.3183;366.46707
1.25445;0.3599182;1.7242084;364.51128;364.47106
1.2545;0.26584867;1.6670072;362.90727;361.67665
1.25455;0.13496933;1.5689479;358.89724;358.48303
1.2546;0.17586912;1.5975485;356.49123;356.08782
1.25465;0.25766871;1.6465781;354.48622;353.69261
1.2547;0.37627812;1.7201226;351.6792;350.499
1.25475;0.21676892;1.6343207;348.87218;348.10379
1.2548;0.28220859;1.6588355;346.46617;345.70858
1.25485;0.25357873;1.6465781;344.06015;344.11178
1.2549;0.29856851;1.6792646;341.25313;339.72056
1.25495;0.47034765;1.8059244;340.05013;338.92216
1.255;0.29856851;1.6792646;337.24311;336.12774
1.25505;0.3394683;1.7037794;333.23308;332.53493
1.2551;0.24130879;1.6302349;331.22807;330.13972
1.25515;0.26993865;1.6588355;328.42105;327.74451
1.2552;0.38854806;1.7242084;327.21805;327.34531
1.25525;0.1595092;1.5607763;328.42105;326.54691
1.2553;0.19222904;1.5812053;328.82206;327.74451
1.25535;0.14723926;1.5526047;328.82206;327.74451
1.2554;0.10224949;1.5158325;328.02005;326.94611
1.25545;0.3190184;1.6629213;328.42105;327.74451
1.2555;-0.08997955;1.340143;346.06516;344.91018
1.25555;-0.024539877;1.381001;350.07519;348.10379
1.2556;-0.065439673;1.3564862;353.28321;352.49501
1.25565;-0.2208589;1.2543412;356.49123;354.89022
1.2557;0.085889571;1.4545455;358.49624;357.68463
1.25575;-0.073619632;1.3646578;361.70426;360.87824
1.2558;-0.016359918;1.4136874;366.11529;364.87026
1.25585;-0.020449898;1.4055158;369.32331;369.26148
1.2559;-0.028629857;1.3769152;372.93233;372.05589
1.25595;0.077709611;1.4790603;374.53634;374.8503
1.256;-0.11860941;1.3442288;377.34336;376.84631
1.25605;-0.065439673;1.3850868;380.95238;379.64072
1.2561;-0.020449898;1.4136874;384.1604;382.43513
1.25615;-0.11042945;1.3483146;385.36341;384.03194
1.2562;0.053169734;1.4627171;386.56642;385.62874
1.25625;-0.069529652;1.3932584;388.97243;387.62475
1.2563;-0.061349693;1.40143;391.77945;390.81836
1.25635;-0.024539877;1.4136874;394.18546;393.61277
1.2564;0.0040899796;1.4545455;396.19048;395.20958
1.25645;0.13087935;1.5485189;396.19048;396.00798
1.2565;-0.12678937;1.3646578;397.39348;396.40719
1.25655;-0.39672802;1.1481103;396.99248;396.40719
1.2566;-0.45807771;1.0704801;397.39348;397.20559
1.25665;-0.43762781;1.0786517;398.19549;397.60479
1.2567;-0.036809816;1.3932584;398.19549;398.00399
1.25675;-0.024539877;1.4382022;397.79449;397.20559
1.2568;-0.053169734;1.4300306;397.39348;396.80639
1.25685;-0.077709611;1.4055158;396.59148;396.40719
1.2569;-0.16768916;1.340143;396.19048;395.60878
1.25695;-0.085889571;1.3973442;395.78947;395.60878
1.257;-0.15132924;1.3483146;395.38847;394.81038
1.25705;-0.12269939;1.3769152;395.78947;393.21357
1.2571;-0.08997955;1.3973442;394.18546;392.81437
1.25715;-0.11860941;1.381001;392.98246;392.01597
1.2572;0.020449898;1.4790603;391.37845;390.41916
1.25725;-0.085889571;1.4136874;390.17544;389.22156
1.2573;-0.13496933;1.381001;388.57143;387.62475
1.25735;-0.11451943;1.3891726;386.16541;385.62874
1.2574;-0.14723926;1.3687436;384.5614;383.23353
1.25745;0.0040899796;1.4627171;382.55639;381.23752
1.2575;-0.15132924;1.3687436;380.55138;378.84232
1.25755;-0.1595092;1.360572;377.34336;376.44711
1.2576;-0.14314928;1.3687436;376.14035;374.8503
1.25765;-0.18813906;1.340143;372.93233;372.45509
1.2577;-0.0081799591;1.4627171;370.12531;369.26148
1.25775;-0.22903885;1.319714;367.7193;367.26547
1.2578;-0.18813906;1.340143;365.31328;364.87026
1.25785;-0.19222904;1.3319714;362.90727;362.07585
1.2579;-0.22494888;1.3156282;359.69925;358.88224
1.25795;-0.040899796;1.442288;357.29323;356.48703
1.258;-0.24539877;1.2951992;353.68421;353.69261
1.25805;-0.20858896;1.3319714;351.6792;350.8982
1.2581;-0.34355828;1.2257406;349.67419;348.50299
1.25815;-0.33537832;1.237998;345.26316;344.11178
1.2582;-0.069529652;1.4177732;343.65915;342.11577
1.25825;-0.29038855;1.2625128;339.64912;338.92216
1.2583;-0.27811861;1.2747702;337.24311;335.72854
1.25835;-0.47034765;1.1440245;332.83208;331.73653
1.2584;-0.26175869;1.278856;331.62907;329.74052
1.25845;-0.11451943;1.3891726;328.42105;326.94611
1.2585;-0.23721881;1.3074566;324.81203;324.1517
1.25855;-0.17177914;1.3646578;324.01003;322.95409
1.2586;-0.17586912;1.3891726;323.20802;322.15569
1.25865;-0.065439673;1.4668029;323.60902;321.75649
1.2587;0.085889571;1.5689479;323.60902;322.55489
1.25875;-0.10633947;1.4463739;323.20802;322.15569
1.2588;-0.057259714;1.4872319;322.40602;321.35729
1.25885;0.69529652;2.145046;345.26316;344.51098
1.2589;0.200409;1.7487232;345.26316;344.91018
1.25895;0.24948875;1.7650664;350.07519;349.3014
1.259;0.032719836;1.6098059;353.68421;352.89421
1.25905;0.044989775;1.6138917;357.29323;356.08782
1.2591;0.069529652;1.6302349;360.10025;359.68064
1.25915;0.053169734;1.6261491;363.30827;362.47505
1.2592;0.24948875;1.7650664;367.3183;366.46707
1.25925;0.24948875;1.7650664;370.92732;370.05988
1.2593;0.085889571;1.6588355;373.73434;372.85429
1.25935;0.081799591;1.6506639;377.34336;376.44711
1.2594;0.065439673;1.6384065;379.74937;379.24152
1.25945;0.24130879;1.7650664;382.95739;382.43513
1.2595;0.15541922;1.7037794;385.76441;384.83034
1.25955;0.12269939;1.6792646;387.76942;386.82635
1.2596;0.19631902;1.7242084;390.17544;388.82236
1.25965;0.044989775;1.6138917;391.37845;390.41916
1.2597;0.21676892;1.7364658;393.38346;392.01597
1.25975;-0.0081799591;1.5689479;394.18546;392.81437
1.2598;0.016359918;1.5812053;395.38847;394.41118
1.25985;0.085889571;1.6302349;395.78947;395.20958
1.2599;0.049079755;1.6016343;396.99248;395.60878
1.25995;0.24130879;1.7364658;397.39348;396.00798
1.26;0.10633947;1.6588355;397.39348;396.80639
1.26005;0.10224949;1.6424923;396.99248;396.40719
1.2601;0.15132924;1.6792646;397.39348;396.80639
1.26015;0.028629857;1.5852911;396.59148;396.00798
1.2602;0.20858896;1.711951;396.19048;394.81038
1.26025;0.049079755;1.5852911;396.19048;394.81038
1.2603;-0.040899796;1.5158325;393.78446;393.61277
1.26035;0.09406953;1.6179775;392.58145;392.81437
1.2604;0.024539877;1.5648621;392.18045;392.01597
1.26045;0.32719836;1.7773238;390.97744;390.01996
1.2605;0.049079755;1.5893769;390.57644;388.82236
1.26055;-0.08997955;1.4749745;388.17043;388.02395
1.2606;0.044989775;1.5648621;386.16541;386.02794
1.26065;0.061349693;1.5852911;385.36341;384.43114
1.2607;0.26175869;1.7242084;382.55639;382.03593
