ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2017-03-10 14:09:24 104m





Relative time;HS4D-5(24422).Ch2;HS4D-5(24422).Ch3
s;V;V
26.2144;104.1502;0.34274194
26.2145;106.917;0.28024194
26.2146;108.10277;0.29637097
26.2147;108.89328;0.17741935
26.2148;109.28854;0.24596774
26.2149;109.68379;0.25806452
26.215;109.28854;0.26008065
26.2151;108.49802;0.26209677
26.2152;108.3004;0.22782258
26.2153;107.11462;0.24193548
26.2154;106.12648;0.27217742
26.2155;104.74308;0.26008065
26.2156;103.75494;0.2641129
26.2157;101.97628;0.23185484
26.2158;100.39526;0.22983871
26.2159;99.407115;0.13709677
26.216;96.837945;0.032258065
26.2161;95.849802;0.5141129
26.2162;93.873518;0.27822581
26.2163;92.29249;0.28830645
26.2164;90.711462;0.28629032
26.2165;90.513834;0.25201613
26.2166;90.909091;0.23185484
26.2167;90.711462;0.18548387
26.2168;90.711462;0.24596774
26.2169;89.72332;0.24193548
26.217;89.525692;0.25201613
26.2171;89.328063;0.23790323
26.2172;89.130435;0.18145161
26.2173;89.130435;0.20564516
26.2174;88.735178;0.20967742
26.2175;88.537549;0.25604839
26.2176;101.3834;0.13508065
26.2177;105.33597;0.12903226
26.2178;107.31225;0.18145161
26.2179;109.09091;0.19153226
26.218;110.27668;0.19758065
26.2181;110.67194;0.14919355
26.2182;111.85771;0.31451613
26.2183;111.26482;0.24193548
26.2184;111.26482;0.21774194
26.2185;110.47431;0.24193548
26.2186;110.27668;0.2641129
26.2187;109.28854;0.22177419
26.2188;107.70751;0.22379032
26.2189;105.92885;0.21774194
26.219;104.74308;0.23387097
26.2191;102.96443;0.27620968
26.2192;101.97628;0.21975806
26.2193;100.39526;0.25604839
26.2194;98.221344;0.25403226
26.2195;96.837945;0.2641129
26.2196;95.059289;0.27620968
26.2197;93.873518;0.22177419
26.2198;93.083004;0.25403226
26.2199;93.083004;0.2641129
26.22;93.280632;0.28629032
26.2201;93.083004;0.27822581
26.2202;91.501976;0.34475806
26.2203;92.490119;0.30241935
26.2204;92.490119;0.26612903
26.2205;91.897233;0.27217742
26.2206;91.897233;0.26209677
26.2207;91.699605;0.18548387
26.2208;91.699605;0.25604839
26.2209;90.909091;0.26612903
26.221;106.12648;0.3891129
26.2211;109.28854;0.30040323
26.2212;111.06719;0.29435484
26.2213;112.25296;0.56451613
26.2214;112.05534;0.35887097
26.2215;112.84585;0.3125
26.2216;112.45059;0.3608871
26.2217;112.25296;0.29032258
26.2218;111.66008;0.34274194
26.2219;111.06719;0.36895161
26.222;109.88142;0.33467742
